;Усть-Илимск ;Орёл;;;;
;Усть-Илимск ;Орёл;;;;
;Усть-Илимск ;Орёл;;;;
;Люберцы;Таганрог;;;;
;Люберцы;Таганрог;;;Усть-Илимск ;Орёл
;Люберцы;Таганрог;;;;
;Люберцы;Таганрог;;;;
;Электросталь;Люберцы;;;;
;Электросталь;Люберцы;;;;
;Электросталь;Люберцы;;;;
;Электросталь;Люберцы;;;;
;Электросталь;Люберцы;;;;
;Электросталь;Люберцы;;;;
;Электросталь;Люберцы;;;;
;Электросталь;Люберцы;;;;
;Щёкино;Стерлитамак;;;;
;;;;;;
;;;;;;
;;;;;;
;kfkfk;;;;;
;;;;;;
;;;;;;
;;;;;;
;;lkjklj;;;;
;;;;;;
;Орёл;Усть-Илимск ;;;;
;;;;;;
;;;;;;
;ljjk;;;;;
;;;;;;
;;;;;;
;Нягань;Белореченск;;;;
;;;;;;
;Таганрог;Новочеркасск;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;Стерлитамак;Электросталь;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;Новочеркасск;Нягань;;;;
;;;;;;
;;;;;;
;;;;;;
;Белореченск;Щёкино;;;;
;Белореченск;Щёкино;;;;
;;;;;;
;;;;;;
;Санкт-Петербург;Москва;;;;